step,reward,ppo_loss,mse_loss,total_loss,test_mos
10,-0.0010906830430030823,0.14568250434240326,0.11027419546735473,0.14568250434240326,3.2769392899517875
20,-0.003178875893354416,0.240951121551916,0.12035619793459773,0.240951121551916,3.2774278177219687
30,-0.005201112478971481,0.5565574157517403,0.1117238785373047,0.5565574157517403,3.277586261768943
40,0.0006828419864177704,1.0312702939845622,0.11963096400722861,1.0312702939845622,3.27789934645
50,0.0030459463596343994,1.493411508621648,0.11392802407499403,1.493411508621648,3.277898680961248
60,0.005837980657815933,2.80158804403618,0.11223508178954944,2.80158804403618,3.2781659954959905
70,-0.0004056580364704132,4.873989421874285,0.11769541673129424,4.873989421874285,3.277998051307734
80,0.005555752664804459,5.840929739177227,0.11552262451732531,5.840929739177227,3.278135301129332
90,0.00333232618868351,4.36654794588685,0.1185466599999927,4.36654794588685,3.2780984239381494
100,0.0012477654963731766,3.322400176897645,0.12053140881471336,3.322400176897645,3.2779244949806086
110,-0.0006491020321846008,2.054122755303979,0.11674438288901001,2.054122755303979,3.2778646326759486
120,-0.0052719153463840485,2.0605271672829986,0.1306819514138624,2.0605271672829986,3.278390315695874
130,0.0005740541964769363,2.366544507443905,0.11838720896048471,2.366544507443905,3.2788053726397672
140,0.0014294125139713287,2.4594979360699654,0.11425560689531267,2.4594979360699654,3.2790520107283174
150,-0.0032395049929618835,2.1532129384577274,0.11108303139917552,2.1532129384577274,3.27903547709428
160,0.002210114151239395,1.8102981010451913,0.10650068486575037,1.8102981010451913,3.2794945106923
170,0.0015274286270141602,1.7620711997151375,0.11894937546458095,1.7620711997151375,3.279675310097852
180,0.0020147236064076424,1.9129282860085368,0.11253461841261014,1.9129282860085368,3.279417210122914
190,0.005115002393722534,2.2661999333649874,0.12051688629435375,2.2661999333649874,3.2792848546817464
200,-0.00012664496898651123,2.228432511910796,0.11532909702509642,2.228432511910796,3.2792342065028772
210,-0.002073405310511589,2.0374819757416844,0.112770022416953,2.0374819757416844,3.2786055236186797
220,-2.0716339349746704e-05,1.6884244587272406,0.10495472641196102,1.6884244587272406,3.2788247878401027
230,6.549246609210968e-05,1.7570578837767243,0.11172522034030408,1.7570578837767243,3.278948118964445
240,-0.0006861165165901184,1.6752878995612264,0.123624088591896,1.6752878995612264,3.278957918141652
250,0.000645466148853302,1.7615100061520934,0.1105817414354533,1.7615100061520934,3.2786764751360256
260,-0.0015675351023674011,1.86848359182477,0.11006295087281615,1.86848359182477,3.2787987055998404
270,0.0018391460180282593,2.4608109910041094,0.11220324068563059,2.4608109910041094,3.2788683913865135
280,0.0009793974459171295,2.698987189680338,0.11279328295495361,2.698987189680338,3.278289363945572
290,-0.0005731247365474701,2.9881511479616165,0.11749077209969983,2.9881511479616165,3.2782587216606416
300,-0.002648908644914627,3.3159662447869778,0.11717547953594476,3.3159662447869778,3.278852280771848
310,-0.0018610339611768723,3.2380895521491766,0.11087323585525155,3.2380895521491766,3.278576041743593
320,-0.004730813205242157,3.299397064372897,0.10232638916932046,3.299397064372897,3.2784043255361537
330,-0.003915667533874512,3.4679841585457325,0.11658588936552405,3.4679841585457325,3.2779011816075703
340,-0.002628061920404434,3.401424178853631,0.11627551331184804,3.401424178853631,3.277707919044402
350,0.0017050392925739288,3.419939434155822,0.1146344147855416,3.419939434155822,3.278026009792263
360,1.1779367923736572e-05,2.9485793206840754,0.10405535413883626,2.9485793206840754,3.2785008422379356
370,-0.0032242685556411743,4.215364970266819,0.11900080618215725,4.215364970266819,3.2785327736903165
380,0.004779011011123657,4.701283313333988,0.12116024806164205,4.701283313333988,3.278241622795179
390,-0.00457996129989624,3.6551671773195267,0.11074758844915777,3.6551671773195267,3.2784955430667377
400,1.91517174243927e-05,3.3947087973356247,0.10407210819539614,3.3947087973356247,3.2792929539692053
410,-0.0032965540885925293,3.7814350835978985,0.11373384110629559,3.7814350835978985,3.279679300281608
420,0.00024604983627796173,4.28828976303339,0.12176123913377523,4.28828976303339,3.280471812752844
430,0.0051033832132816315,4.265497779473662,0.11316557979444042,4.265497779473662,3.281301186501401
440,0.015856672078371048,4.543165121227503,0.11164126871153712,4.543165121227503,3.2818242940798545
450,0.003674745559692383,4.553245298564434,0.111398599750828,4.553245298564434,3.282035324324682
460,0.004329577088356018,4.665945775806904,0.11412688682321459,4.665945775806904,3.2817296160077585
470,0.004067625850439072,5.381836045533419,0.11865852947812527,5.381836045533419,3.281660426733563
480,0.0023791417479515076,5.6084611639380455,0.12192052172031254,5.6084611639380455,3.281823627867745
490,0.004875980317592621,5.600788369774818,0.11196960957022384,5.600788369774818,3.282501625493892
500,0.009019162505865097,6.553252007812262,0.1238727715681307,6.553252007812262,3.2832276165774723
