step,reward,ppo_loss,mse_loss,total_loss,test_mos
10,-0.0068960171192884445,0.007052703818771988,0.016985119436867535,0.02403782302280888,4.105341305721153
20,-0.016683116555213928,0.017027638154104352,0.014915010251570493,0.03194264852209017,4.105385758633752
30,-0.020989149808883667,0.0217236778116785,0.01575256831711158,0.037476246478036046,4.105423821696958
40,-0.012142742052674294,0.012624692579265684,0.018754557939246297,0.031379250111058354,4.105507126710947
50,-0.005199642851948738,0.005983588765957393,0.0153865076135844,0.021370096132159233,4.105633263449067
60,-0.013257894665002823,0.014799460681388155,0.015937122458126396,0.03073658311041072,4.1056578752485295
70,-0.014738878235220909,0.01715765600965824,0.01891111582517624,0.036068771849386394,4.10574641071477
80,-0.0045157428830862045,0.00629793040570803,0.016707742703147233,0.023005672788713127,4.105781179608651
90,-0.0036338213831186295,0.005995959683787078,0.018021749332547188,0.024017709132749587,4.105843818303451
100,-0.007804177701473236,0.0106824089307338,0.015104881371371448,0.025787290127482265,4.105918826698099
110,-0.013674132525920868,0.017194454092532396,0.015734984015580267,0.03292943810811266,4.105999106921039
120,-0.010323775932192802,0.015015373413916677,0.016921062488108873,0.03193643584381789,4.106081490667121
130,-0.009822621941566467,0.015714661276433617,0.017915895907208323,0.03363055759109557,4.1062289346190335
140,-0.012164153158664703,0.01948995390557684,0.016683625290170312,0.03617357951588929,4.106292090948346
150,-0.004935253411531448,0.01397469216317404,0.015056715230457485,0.029031407088041306,4.106429216352481
160,-0.011423595249652863,0.020411196252098307,0.015065509942360222,0.03547670633997768,4.106568248815907
170,-0.0007974747568368912,0.012769658205797896,0.0159034751704894,0.02867313358001411,4.1067208416253616
180,-0.010586179792881012,0.025839856127277017,0.015381554956547916,0.04122141096740961,4.106908644866017
190,-0.010504189878702164,0.029662229237146676,0.01586377457715571,0.045526003232225776,4.107105652394804
200,-0.009633775800466537,0.028137834917288274,0.017248760035727173,0.0453865947201848,4.10728223694181
210,-0.004585519433021545,0.03147873480338603,0.015873393742367625,0.047352128312923014,4.1074743479200935
220,-0.006058430299162865,0.030418865906540304,0.015624513034708798,0.046043379115872085,4.107599233539359
230,-0.002420283854007721,0.03044669353403151,0.016163296008016914,0.04660999035695568,4.107745581460231
240,-0.014354582875967026,0.053174497559666634,0.014768995461054146,0.0679434931371361,4.1079835773093025
250,-0.0036404281854629517,0.048044968221802264,0.015444237506017089,0.06348920601885766,4.1082031567698545
260,-0.010637015104293823,0.058692349935881793,0.0171763026737608,0.075868651852943,4.10846691166313
270,-0.001926317811012268,0.06508569209836423,0.016755469841882586,0.08184116194024682,4.108619669687401
280,-0.0010421015322208405,0.05874475883319974,0.016416358470451087,0.07516111782751977,4.108795900078653
290,-0.003348378464579582,0.08200236596167088,0.013576552184531465,0.09557891823351383,4.108971028941349
300,-0.01067117415368557,0.12156486418098211,0.015939170261844993,0.13750403514131904,4.10923019659172
310,-0.012621147558093071,0.11801328952424228,0.015170926810242236,0.13318421645089984,4.109454413351504
320,-0.0017310157418251038,0.1186242331750691,0.015185677097178996,0.13380990829318762,4.109594231381
330,-0.014078473672270775,0.11614589393138885,0.017024360655341297,0.13317025499418378,4.109781344828097
340,-0.010011117905378342,0.1349319745786488,0.0177402533008717,0.15267222933471203,4.109933339565703
350,-0.003398953005671501,0.16284374287351966,0.01784062071237713,0.18068436300382018,4.110169121941317
360,-0.005548354238271713,0.1373884272761643,0.016666595824062824,0.1540550240315497,4.110358393886714
370,-0.010382523760199547,0.22329144598916173,0.016951333440374583,0.24024278298020363,4.110640399375008
380,-0.009392186999320984,0.1548983915708959,0.01643105980474502,0.17132945219054818,4.110860376392753
390,-0.015705198049545288,0.19459317857399583,0.016973766905721277,0.21156694740056992,4.1110753859709765
400,-0.006477590650320053,0.3149716258049011,0.014007836987730116,0.3289794623851776,4.111258819554616
410,-0.015443002805113792,0.23991294484585524,0.017024205822963268,0.2569371508434415,4.111481695499235
420,-0.010433468967676163,0.2536276374012232,0.017929716676007956,0.27155735343694687,4.111615181258581
430,-0.015849504619836807,0.19990525115281343,0.01804076851112768,0.21794602181762457,4.111802463103267
440,0.0002347957342863083,0.3082778137177229,0.014525919512379915,0.3228037329390645,4.112013384265807
450,0.004048474133014679,0.32839832082390785,0.01578090520342812,0.3441792307421565,4.112194668899462
460,0.005782870575785637,0.2286106487736106,0.015412316075526178,0.24402296543121338,4.112450183305926
470,-0.008970346301794052,0.368072098121047,0.01637719856807962,0.38444929383695126,4.11265165423884
480,-0.0041428618133068085,0.426556758582592,0.017870320880319923,0.444427078589797,4.1128198145662695
490,-0.012304723262786865,0.4249228350818157,0.015953490568790585,0.44087632186710835,4.113069024768848
500,-0.004409395158290863,0.5377642074599862,0.01543990382924676,0.553204114548862,4.1132390331296085
510,-0.003552686423063278,0.3344135023653507,0.015354727976955473,0.34976823069155216,4.113434677274482
520,-0.007290607318282127,0.3291937867179513,0.01685508422087878,0.3460488701239228,4.113558018670498
530,-0.0037386566400527954,0.4005974344909191,0.015421811549458653,0.4160192459821701,4.113663850189413
540,-0.00725066103041172,0.5931430086493492,0.014850813488010317,0.6079938188195229,4.113855937152233
550,-0.008159738034009933,0.43996237590909004,0.017193398030940443,0.4571557715535164,4.114029963329
560,-0.007058985531330109,0.44566468335688114,0.01584387361072004,0.4615085572004318,4.114203094857411
